Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Syrian Arab Republic,SYR,Incidence of tuberculosis (per 100000),SH.TBS.INCD,30.0,29.0,24.0,23.0,31.0,26.0,27.0,24.0,22.0,21.0,20.0,24.0,22.0
Syrian Arab Republic,SYR,Life expectancy at birth (years),SP.DYN.LE00.IN,73.542,72.259,66.206,65.146,65.492,63.265,65.19,65.651,67.371,70.97,71.944,72.418,72.79
Syrian Arab Republic,SYR,"Mortality rate, under-5 (per 1000 live births)",SP.DYN.CDRT.IN,3.824,4.334,6.829,7.514,7.353,8.223,7.323,7.246,6.544,5.284,5.058,4.964,4.773
Uganda,UGA,Incidence of tuberculosis (per 100000),SH.TBS.INCD,210.0,207.0,205.0,203.0,202.0,202.0,201.0,201.0,200.0,200.0,199.0,199.0,198.0
Uganda,UGA,Life expectancy at birth (years),SP.DYN.LE00.IN,59.959,60.791,61.579,62.353,63.057,63.831,64.494,65.174,65.775,66.354,66.41,66.45,67.675
Uganda,UGA,"Mortality rate, under-5 (per 1000 live births)",SP.DYN.CDRT.IN,8.263,7.824,7.419,7.038,6.699,6.372,6.073,5.82,5.613,5.42,5.373,5.339,5.035
"Yemen, Rep.",YEM,Incidence of tuberculosis (per 100000),SH.TBS.INCD,45.0,42.0,47.0,48.0,43.0,33.0,40.0,40.0,39.0,39.0,33.0,34.0,36.0
"Yemen, Rep.",YEM,Life expectancy at birth (years),SP.DYN.LE00.IN,67.223,67.412,67.569,67.961,68.003,66.761,67.105,67.12,65.915,66.567,66.435,66.019,67.952
"Yemen, Rep.",YEM,"Mortality rate, under-5 (per 1000 live births)",SP.DYN.CDRT.IN,5.586,5.474,5.425,5.294,5.29,5.773,5.647,5.644,6.114,5.859,5.832,5.953,5.232
Zimbabwe,ZWE,Incidence of tuberculosis (per 100000),SH.TBS.INCD,416.0,384.0,355.0,304.0,278.0,242.0,233.0,221.0,210.0,199.0,189.0,198.0,209.0
Zimbabwe,ZWE,Life expectancy at birth (years),SP.DYN.LE00.IN,51.925,53.911,55.386,56.842,58.106,58.989,59.76,60.263,60.906,61.06,61.53,60.135,62.36
Zimbabwe,ZWE,"Mortality rate, under-5 (per 1000 live births)",SP.DYN.CDRT.IN,12.745,11.694,10.946,10.233,9.621,9.18,8.816,8.587,8.321,8.281,8.138,8.782,7.779
