country_name,region,year,under_5_mortality_rate,life_expectancy,tuberculosis_incidence
"Yemen, Rep.",,2020,5.832,66.435,33.0
"Yemen, Rep.",,2021,5.953,66.019,34.0
"Yemen, Rep.",,2022,5.232,67.952,36.0
Zimbabwe,Southern Africa,2010,12.745,51.925,416.0
Zimbabwe,Southern Africa,2011,11.694,53.911,384.0
Zimbabwe,Southern Africa,2012,10.946,55.386,355.0
Zimbabwe,Southern Africa,2013,10.233,56.842,304.0
Zimbabwe,Southern Africa,2014,9.621,58.106,278.0
Zimbabwe,Southern Africa,2015,9.18,58.989,242.0
Zimbabwe,Southern Africa,2016,8.816,59.76,233.0
Zimbabwe,Southern Africa,2017,8.587,60.263,221.0
Zimbabwe,Southern Africa,2018,8.321,60.906,210.0
Zimbabwe,Southern Africa,2019,8.281,61.06,199.0
Zimbabwe,Southern Africa,2020,8.138,61.53,189.0
Zimbabwe,Southern Africa,2021,8.782,60.135,198.0
Zimbabwe,Southern Africa,2022,7.779,62.36,209.0
