country_name,country_code,year,under_5_mortality_rate,life_expectancy,tuberculosis_incidence,region
Rwanda,RWA,2010,7.347,62.804,82.0,East Africa
Rwanda,RWA,2011,7.043,63.476,76.0,East Africa
Rwanda,RWA,2012,6.759,64.189,72.0,East Africa
Rwanda,RWA,2013,6.598,64.651,70.0,East Africa
Rwanda,RWA,2014,6.478,65.088,68.0,East Africa
Rwanda,RWA,2015,6.401,65.419,66.0,East Africa
Rwanda,RWA,2016,6.336,65.733,65.0,East Africa
Rwanda,RWA,2017,6.234,66.14,65.0,East Africa
Rwanda,RWA,2018,6.206,66.354,64.0,East Africa
Rwanda,RWA,2019,6.132,66.691,63.0,East Africa
Rwanda,RWA,2020,6.089,66.953,63.0,East Africa
Rwanda,RWA,2021,6.185,66.85,63.0,East Africa
Rwanda,RWA,2022,5.993,67.528,62.0,East Africa
Uganda,UGA,2010,8.263,59.959,210.0,East Africa
Uganda,UGA,2011,7.824,60.791,207.0,East Africa
Uganda,UGA,2012,7.419,61.579,205.0,East Africa
Uganda,UGA,2013,7.038,62.353,203.0,East Africa
Uganda,UGA,2014,6.699,63.057,202.0,East Africa
Uganda,UGA,2015,6.372,63.831,202.0,East Africa
Uganda,UGA,2016,6.073,64.494,201.0,East Africa
Uganda,UGA,2017,5.82,65.174,201.0,East Africa
Uganda,UGA,2018,5.613,65.775,200.0,East Africa
Uganda,UGA,2019,5.42,66.354,200.0,East Africa
Uganda,UGA,2020,5.373,66.41,199.0,East Africa
Uganda,UGA,2021,5.339,66.45,199.0,East Africa
Uganda,UGA,2022,5.035,67.675,198.0,East Africa
Syrian Arab Republic,SYR,2010,3.824,73.542,30.0,Middle East
Syrian Arab Republic,SYR,2011,4.334,72.259,29.0,Middle East
Syrian Arab Republic,SYR,2012,6.829,66.206,24.0,Middle East
Syrian Arab Republic,SYR,2013,7.514,65.146,23.0,Middle East
Syrian Arab Republic,SYR,2014,7.353,65.492,31.0,Middle East
Syrian Arab Republic,SYR,2015,8.223,63.265,26.0,Middle East
Syrian Arab Republic,SYR,2016,7.323,65.19,27.0,Middle East
Syrian Arab Republic,SYR,2017,7.246,65.651,24.0,Middle East
Syrian Arab Republic,SYR,2018,6.544,67.371,22.0,Middle East
Syrian Arab Republic,SYR,2019,5.284,70.97,21.0,Middle East
Syrian Arab Republic,SYR,2020,5.058,71.944,20.0,Middle East
Syrian Arab Republic,SYR,2021,4.964,72.418,24.0,Middle East
Syrian Arab Republic,SYR,2022,4.773,72.79,22.0,Middle East
Afghanistan,AFG,2010,8.402,60.702,218.0,South Asia
Afghanistan,AFG,2011,8.032,61.25,204.0,South Asia
Afghanistan,AFG,2012,7.822,61.735,194.0,South Asia
Afghanistan,AFG,2013,7.597,62.188,194.0,South Asia
Afghanistan,AFG,2014,7.511,62.26,197.0,South Asia
Afghanistan,AFG,2015,7.528,62.27,200.0,South Asia
Afghanistan,AFG,2016,7.32,62.646,204.0,South Asia
Afghanistan,AFG,2017,7.315,62.406,209.0,South Asia
Afghanistan,AFG,2018,7.271,62.443,212.0,South Asia
Afghanistan,AFG,2019,7.064,62.941,213.0,South Asia
Afghanistan,AFG,2020,7.565,61.454,205.0,South Asia
Afghanistan,AFG,2021,8.002,60.417,206.0,South Asia
Afghanistan,AFG,2022,5.993,65.617,206.0,South Asia
Pakistan,PAK,2010,7.691,64.378,276.0,South Asia
Pakistan,PAK,2011,7.575,64.659,276.0,South Asia
Pakistan,PAK,2012,7.482,64.883,276.0,South Asia
Pakistan,PAK,2013,7.377,65.129,275.0,South Asia
Pakistan,PAK,2014,7.272,65.374,270.0,South Asia
Pakistan,PAK,2015,7.164,65.641,270.0,South Asia
Pakistan,PAK,2016,7.039,65.943,268.0,South Asia
Pakistan,PAK,2017,6.94,66.223,267.0,South Asia
Pakistan,PAK,2018,6.852,66.481,265.0,South Asia
Pakistan,PAK,2019,6.772,66.729,263.0,South Asia
Pakistan,PAK,2020,7.301,65.701,260.0,South Asia
Pakistan,PAK,2021,7.23,65.773,270.0,South Asia
